Sample	MethScore	Quartile	Tertile
TCGA.E9.A1NI.01	0.024149999	3	2
TCGA.E2.A1IL.01	-0.116506169	1	1
TCGA.E9.A1R2.01	-0.03290399	2	2
TCGA.D8.A1XL.01	-0.087190229	1	1
TCGA.D8.A1Y1.01	0.017847975	3	2
TCGA.E2.A1LG.01	-0.157006354	1	1
TCGA.B6.A1KI.01	-0.052872823	2	2
TCGA.AQ.A0Y5.01	0.08594781	4	3
TCGA.D8.A1XO.01	-0.10362219	1	1
TCGA.E9.A1NE.01	-0.085960812	1	1
TCGA.D8.A1X7.01	-0.024838962	2	2
TCGA.D8.A1X6.01	-0.051381304	2	2
TCGA.D8.A1XZ.01	0.065888687	4	3
TCGA.D8.A1XQ.01	-0.144456643	1	1
TCGA.D8.A1XK.01	-0.121776587	1	1
TCGA.D8.A1XR.01	-0.119062967	1	1
TCGA.E9.A1N4.01	-0.086004911	1	1
TCGA.D8.A1XM.01	-0.079376987	1	1
TCGA.D8.A1XU.01	0.08139922	4	3
TCGA.D8.A1XW.01	-0.176528637	1	1
TCGA.D8.A1XV.01	0.088212881	4	3
TCGA.D8.A1XS.01	-0.074384843	2	1
TCGA.D8.A1X8.01	-0.032654643	2	2
TCGA.D8.A1JJ.01	0.031931526	3	3
TCGA.E9.A1NG.01	-0.114025873	1	1
TCGA.D8.A1XY.01	-0.056181628	2	2
TCGA.D8.A1XT.01	-0.025762471	2	2
TCGA.D8.A1Y0.01	-3.78E-05	3	2
TCGA.D8.A1XJ.01	0.090453211	4	3
TCGA.D8.A1X9.01	0.142815091	4	3
TCGA.E2.A1LI.01	-0.097305292	1	1
TCGA.D8.A1Y3.01	0.226703535	4	3
TCGA.E9.A22B.01	0.206456633	4	3
TCGA.D8.A1Y2.01	-0.116894494	1	1
TCGA.E9.A22D.01	0.170898929	4	3
TCGA.E9.A22G.01	-0.09479886	1	1
TCGA.E9.A22E.01	0.002291997	3	2
TCGA.E9.A227.01	-0.119968622	1	1
TCGA.E9.A22H.01	-0.060980253	2	2
TCGA.E2.A1LS.01	-0.061911562	2	1
TCGA.E9.A22A.01	0.075872809	4	3
TCGA.AR.A24O.01	-0.086429906	1	1
TCGA.A7.A26F.01	0.051578823	3	3
TCGA.A7.A26J.01	0.018757147	3	2
TCGA.C8.A27A.01	0.18153727	4	3
TCGA.A7.A26H.01	0.021397102	3	2
TCGA.A2.A25F.01	-0.065116272	2	1
TCGA.AR.A24T.01	0.068686568	4	3
TCGA.A7.A26G.01	-0.101628627	1	1
TCGA.A7.A26E.01	-0.035709518	2	2
TCGA.AR.A24H.01	0.1718695	4	3
TCGA.A7.A26I.01	-0.167710221	1	1
TCGA.AR.A24R.01	0.095477812	4	3
TCGA.AR.A251.01	-0.171914212	1	1
TCGA.C8.A278.01	0.026429004	3	2
TCGA.AR.A24Q.01	-0.137557977	1	1
TCGA.AR.A252.01	-0.038377383	2	2
TCGA.A2.A25E.01	-0.002198925	3	2
TCGA.AR.A24M.01	-0.060712528	2	2
TCGA.AR.A255.01	0.124621983	4	3
TCGA.AR.A250.01	0.245688194	4	3
TCGA.AR.A24P.01	-0.048816233	2	2
TCGA.AR.A256.01	-0.019170219	3	2
TCGA.AR.A24L.01	-0.08772446	1	1
TCGA.AR.A24V.01	0.03177445	3	3
TCGA.C8.A27B.01	-0.111712943	1	1
TCGA.A2.A25C.01	-0.0760762	2	1
TCGA.AR.A254.01	-0.008633908	3	2
TCGA.AR.A24S.01	-0.075655495	2	1
TCGA.AR.A24X.01	0.05792126	3	3
TCGA.AR.A24Z.01	0.034409772	3	3
TCGA.A2.A25B.01	0.03121701	3	3
TCGA.AR.A24K.01	0.039937946	3	3
TCGA.AR.A24N.01	0.126770822	4	3
TCGA.AR.A24U.01	-0.045816943	2	2
TCGA.A2.A259.01	-0.108939214	1	1
TCGA.D8.A27K.01	-0.042016277	2	2
TCGA.C8.A26Y.01	-0.024112469	2	2
TCGA.C8.A26Z.01	-0.010356795	3	2
TCGA.D8.A27R.01	-0.020994092	3	2
TCGA.D8.A27W.01	0.142600346	4	3
TCGA.D8.A27N.01	0.073276145	4	3
TCGA.C8.A26X.01	0.126877118	4	3
TCGA.C8.A26V.01	0.057383332	3	3
TCGA.C8.A274.01	0.129053948	4	3
TCGA.D8.A27M.01	-0.118040679	1	1
TCGA.C8.A273.01	-0.010733629	3	2
TCGA.D8.A27F.01	-0.149829987	1	1
TCGA.D8.A27G.01	0.173420451	4	3
TCGA.D8.A27I.01	-0.040278066	2	2
TCGA.D8.A27H.01	-0.081241007	1	1
TCGA.D8.A27P.01	-0.137869596	1	1
TCGA.C8.A26W.01	-0.086850112	1	1
TCGA.A2.A25D.01	0.068762138	4	3
TCGA.D8.A27L.01	-0.079828476	1	1
TCGA.A2.A25A.01	0.027747136	3	2
TCGA.D8.A27E.01	-0.124611033	1	1
TCGA.D8.A27T.01	0.013041678	3	2
